geoid,YYYYMM,Sex,Age_Group,total_drug_OD_n,total_opioid_OD_n,total_heroin_OD_n,total_Fentanyl_OD_n,total_stimulant_OD_n,total_Cocaine_OD_n,total_Methamphetamine_OD_n,total_Benzo_OD_n,total_ED_visits
TN,202408,Female,45 to 54,136,40,3,6,8,4,3,3,19282
MD,202407,Female,55 to 64,86,40,5,0,2,0,1,0,12946
MI,202408,Missing,0 to 10,0,0,0,0,0,0,0,0,12
OH,202406,Missing,11 to 14,0,0,0,0,0,0,0,0,null
VA,202407,Missing,45 to 54,0,0,0,0,0,0,0,0,7
OR,202408,Male,55 to 64,46,20,0,6,0,0,0,0,9271
VA,202408,Male,0 to 10,64,1,0,0,1,0,0,0,16344
CO,202406,Missing,0 to 10,0,0,0,0,0,0,0,0,5
SD,202405,Female,25 to 34,15,1,0,1,3,0,1,0,1781
VA,202408,Missing,55 to 64,0,0,0,0,0,0,0,0,5
KY,202407,Missing,Total,1,1,0,0,0,0,0,0,27
GA,202407,Male,Total,836,156,10,27,72,29,37,13,155736
MA,202408,Total,0 to 10,101,1,0,1,2,0,0,4,21002
DE,202405,Missing,45 to 54,0,0,0,0,0,0,0,0,1
DE,202403,Female,65+,7,2,0,0,1,1,0,0,5716
AZ,202404,Missing,55 to 64,0,0,0,0,0,0,0,0,2
MT,202405,Total,Total,251,62,0,19,23,1,19,8,37229
MT,202405,Female,25 to 34,19,6,0,5,5,0,5,0,2502
NJ,202405,Female,25 to 34,115,34,3,1,6,3,1,3,26644
AK,202404,Total,65+,11,5,0,1,0,0,0,0,5525
WA,202404,Female,35 to 44,140,73,0,18,6,3,1,2,18347
DC,202404,Male,65+,20,8,1,1,0,0,0,0,2440
VA,202405,Missing,65+,0,0,0,0,0,0,0,0,46
NM,202403,Male,55 to 64,37,19,0,8,5,1,1,0,5096
KS,202404,Total,11 to 14,28,3,0,0,0,0,0,0,3808
IN,202401,Missing,0 to 10,0,0,0,0,0,0,0,0,3
WA,202402,Total,0 to 10,128,10,0,2,6,0,2,0,26306
WA,202401,Missing,55 to 64,2,1,0,1,1,1,0,0,14
WA,202402,Male,55 to 64,148,100,2,22,16,4,11,2,13277
NJ,202403,Female,15 to 24,89,7,1,0,0,0,0,2,19938
NV,202405,Male,Total,657,339,6,145,52,11,35,6,62062
WI,202501,Male,55 to 64,34,6,1,0,2,2,0,0,14883
NV,202501,Missing,11 to 14,0,0,0,0,0,0,0,0,null
VA,202502,Total,0 to 10,117,3,0,1,9,6,1,0,38743
NV,202502,Total,65+,102,46,0,5,1,0,1,3,26932
WY,202502,Male,0 to 10,9,0,0,0,0,0,0,0,1307
NJ,202502,Total,Total,1456,438,48,12,35,27,0,26,301099
SD,202502,Missing,0 to 10,0,0,0,0,0,0,0,0,1
AK,202502,Female,45 to 54,13,1,0,1,0,0,0,1,1655
VT,202501,Male,55 to 64,7,5,0,0,0,0,0,0,1713
AL,202501,Female,25 to 34,69,16,0,8,3,0,2,4,18368
OR,202502,Missing,0 to 10,0,0,0,0,0,0,0,0,3
MO,202501,Female,Missing,1,0,0,0,0,0,0,0,118
AZ,202501,Female,15 to 24,157,19,0,11,9,4,2,3,17695
UT,202502,Total,Total,717,188,5,22,28,2,13,25,83693
AK,202406,Total,25 to 34,65,39,0,15,5,2,3,0,4735
MO,202502,Female,35 to 44,53,2,0,0,1,0,0,1,13919
AL,202502,Missing,0 to 10,0,0,0,0,0,0,0,0,2
AZ,202501,Male,15 to 24,130,31,0,15,12,3,4,6,11859
NH,202401,Male,65+,4,1,0,1,0,0,0,0,3838
RI,202402,Male,65+,14,3,0,0,0,0,0,1,4494
AK,202401,Male,35 to 44,41,23,0,7,3,1,2,1,1958
VT,202401,Total,Missing,2,1,0,0,0,0,0,0,16
OH,202403,Female,65+,124,11,2,0,1,1,0,0,59730
AR,202403,Missing,65+,0,0,0,0,0,0,0,0,null
MN,202401,Female,0 to 10,14,0,0,0,0,0,0,1,5900
AL,202401,Male,11 to 14,9,0,0,0,0,0,0,0,2363
CO,202402,Missing,0 to 10,0,0,0,0,0,0,0,0,8
OH,202402,Female,11 to 14,48,1,0,0,0,0,0,0,7325
AR,202402,Missing,0 to 10,0,0,0,0,0,0,0,0,null
ME,202402,Total,45 to 54,50,22,2,2,1,1,0,1,6073
CT,202401,Missing,15 to 24,0,0,0,0,0,0,0,0,15
DC,202401,Total,45 to 54,39,10,1,0,3,3,0,0,3530
AZ,202401,Total,11 to 14,23,1,0,0,0,0,0,0,5677
MO,202402,Male,45 to 54,46,4,0,2,1,0,1,0,10880
OR,202403,Missing,55 to 64,0,0,0,0,0,0,0,0,4
NJ,202401,Total,55 to 64,277,107,15,1,8,7,1,2,40267
MA,202411,Female,25 to 34,117,39,5,5,5,3,1,2,19848
DE,202409,Female,35 to 44,42,25,2,3,2,2,0,0,3231
LA,202501,Male,65+,60,21,0,2,2,2,0,0,20904
WY,202402,Total,65+,4,0,0,0,0,0,0,1,2977
WY,202402,Missing,11 to 14,0,0,0,0,0,0,0,0,null
WY,202405,Missing,15 to 24,0,0,0,0,0,0,0,0,null
TX,202412,Male,Total,2119,363,15,76,220,98,89,58,489353
KY,202412,Total,15 to 24,153,20,0,8,8,0,3,3,24261
IL,202409,Total,55 to 64,481,323,144,4,9,6,2,7,53339
TX,202411,Missing,35 to 44,1,1,0,0,0,0,0,0,36
WA,202409,Total,Total,2248,1009,4,382,107,35,51,40,253538
SC,202410,Missing,11 to 14,0,0,0,0,0,0,0,0,2
KS,202411,Male,35 to 44,56,15,1,5,11,1,8,0,4869
CT,202411,Male,Total,553,227,21,32,28,24,1,7,76766
SD,202410,Female,45 to 54,10,0,0,0,0,0,0,2,1326
NC,202412,Missing,15 to 24,0,0,0,0,0,0,0,0,21
UT,202411,Female,65+,61,30,0,0,0,0,0,3,9747
FL,202412,Missing,Total,3,1,0,0,0,0,0,0,731
MI,202412,Male,65+,141,48,9,2,7,7,0,5,46786
WA,202410,Female,45 to 54,101,55,1,11,5,2,1,1,14677
NY,202412,Missing,65+,2,0,0,0,0,0,0,0,54
VA,202411,Missing,65+,0,0,0,0,0,0,0,0,41
NY,202411,Male,55 to 64,577,186,13,6,17,17,0,5,44377
TX,202407,Missing,Total,6,3,0,0,0,0,0,0,271
IN,202410,Missing,65+,0,0,0,0,0,0,0,0,2
HI,202409,Male,65+,22,10,0,0,0,0,0,0,6604
GA,202411,Total,0 to 10,80,4,0,0,2,1,1,3,50660
CO,202409,Male,55 to 64,38,17,0,4,2,1,1,1,9046
CT,202412,Missing,11 to 14,0,0,0,0,0,0,0,0,3
MI,202410,Missing,45 to 54,0,0,0,0,0,0,0,0,3
SC,202409,Total,Missing,1,1,0,0,0,0,0,0,32
OR,202411,Missing,11 to 14,0,0,0,0,0,0,0,0,2
MT,202410,Total,Total,265,55,0,11,23,4,16,4,36272
TX,202410,Female,Total,2229,275,9,38,102,43,33,70,601321
KY,202410,Missing,45 to 54,0,0,0,0,0,0,0,0,null
ME,202412,Male,0 to 10,7,0,0,0,0,0,0,0,1918
MT,202409,Female,45 to 54,18,4,0,0,2,0,2,1,2124
SC,202412,Total,15 to 24,108,14,0,4,2,1,0,2,21814
FL,202409,Male,35 to 44,612,244,15,60,56,29,13,14,55120
MD,202411,Total,0 to 10,59,0,0,0,0,0,0,0,22078
AZ,202412,Female,25 to 34,140,57,0,28,3,2,1,1,22869
WV,202501,Female,45 to 54,43,17,2,3,1,1,0,1,5587
ID,202411,Missing,Missing,0,0,0,0,0,0,0,0,6
NY,202411,Female,25 to 34,286,60,13,1,5,5,0,7,56882
PA,202409,Missing,Total,4,2,1,0,0,0,0,0,349
OR,202411,Female,Total,504,144,1,36,12,0,11,7,73725
AZ,202411,Male,25 to 34,205,94,0,42,14,5,4,1,13728
NJ,202412,Female,0 to 10,47,1,0,1,0,0,0,0,22788
ME,202409,Male,35 to 44,22,10,0,2,2,1,0,1,2900
IL,202410,Female,Total,1196,307,115,13,38,14,10,33,242358
RI,202409,Missing,25 to 34,0,0,0,0,0,0,0,0,11
AK,202409,Missing,11 to 14,0,0,0,0,0,0,0,0,null
DC,202410,Female,55 to 64,12,3,0,0,2,2,0,0,1913
NY,202409,Male,0 to 10,99,0,0,0,0,0,0,3,38902
CO,202411,Male,11 to 14,13,1,0,0,1,0,0,0,2561
AZ,202408,Total,35 to 44,316,139,1,57,19,6,10,7,34355
NE,202407,Missing,35 to 44,1,0,0,0,0,0,0,0,1
UT,202406,Total,Missing,2,0,0,0,0,0,0,0,7
SD,202402,Male,65+,9,2,0,0,0,0,0,1,2870
MS,202407,Total,45 to 54,59,10,0,0,10,2,6,1,13830
NM,202408,Male,0 to 10,18,0,0,0,0,0,0,0,4536
TN,202408,Female,Missing,5,2,0,0,0,0,0,0,174
CT,202406,Total,15 to 24,102,14,3,2,3,1,0,1,19496
NC,202408,Female,Total,1205,304,8,43,38,19,11,27,235634
SD,202401,Female,Total,71,5,0,1,1,0,0,1,12078
KY,202406,Male,11 to 14,14,0,0,0,0,0,0,0,2256
MT,202407,Male,35 to 44,21,7,0,2,5,0,3,0,2401
MA,202407,Missing,0 to 10,0,0,0,0,0,0,0,0,5
CT,202408,Male,45 to 54,119,49,8,8,4,4,0,1,9154
HI,202407,Missing,35 to 44,1,0,0,0,0,0,0,0,1
WY,202407,Male,55 to 64,8,2,0,0,0,0,0,0,1119
WI,202406,Female,25 to 34,81,15,4,0,4,3,0,1,18112
NE,202407,Male,15 to 24,23,5,0,0,1,0,0,2,2825
GA,202408,Total,11 to 14,67,0,0,0,2,0,0,0,12969
TN,202407,Total,45 to 54,302,124,16,24,33,21,8,5,35587
VA,202408,Female,0 to 10,60,2,0,0,2,0,0,1,13542
MD,202408,Total,Missing,30,5,0,0,0,0,0,0,275
NM,202408,Missing,35 to 44,0,0,0,0,0,0,0,0,null
GA,202408,Male,35 to 44,177,42,2,14,22,1,21,1,20992
NV,202407,Female,0 to 10,25,0,0,0,0,0,0,2,5097
HI,202408,Total,11 to 14,6,0,0,0,0,0,0,0,1409
TN,202408,Female,11 to 14,44,0,0,0,1,0,0,0,4516
SD,202404,Female,0 to 10,2,0,0,0,0,0,0,0,1098
NJ,202407,Female,0 to 10,37,0,0,0,0,0,0,1,13944
NV,202405,Male,65+,56,31,0,10,0,0,0,1,13834
MS,202404,Total,55 to 64,35,8,0,0,1,0,1,3,11731
MN,202404,Missing,35 to 44,0,0,0,0,0,0,0,0,4
CT,202405,Male,25 to 34,99,44,7,5,5,4,0,4,10011
AZ,202404,Missing,Missing,0,0,0,0,0,0,0,0,23
DE,202401,Female,65+,13,4,0,0,0,0,0,1,6005
NM,202403,Male,35 to 44,49,24,0,8,3,1,2,0,6091
AR,202404,Missing,55 to 64,0,0,0,0,0,0,0,0,1
NM,202404,Missing,Total,0,0,0,0,0,0,0,0,18
ID,202403,Female,45 to 54,16,3,0,0,0,0,0,0,3056
WA,202402,Female,11 to 14,53,2,0,1,0,0,0,1,3401
NH,202404,Total,35 to 44,24,11,3,3,0,0,0,1,2934
MD,202404,Male,55 to 64,177,84,10,5,0,0,0,1,11916
AR,202405,Missing,Missing,0,0,0,0,0,0,0,0,null
NJ,202404,Male,35 to 44,203,66,7,2,3,2,0,2,18298
MI,202404,Male,25 to 34,212,70,20,7,37,16,13,4,20928
FL,202402,Female,35 to 44,417,156,6,35,33,18,8,14,73671
NM,202402,Missing,35 to 44,0,0,0,0,0,0,0,0,3
CT,202404,Female,11 to 14,15,0,0,0,1,0,0,1,2660
NE,202401,Male,Total,113,13,0,1,9,0,8,0,26050
NM,202402,Total,0 to 10,25,1,0,0,1,0,0,0,12224
WA,202404,Missing,35 to 44,0,0,0,0,0,0,0,0,28
DC,202405,Male,Total,166,41,7,6,9,8,1,1,16386
RI,202501,Total,Total,227,66,1,10,10,8,1,7,48656
NM,202502,Missing,Total,0,0,0,0,0,0,0,0,26
AK,202406,Female,15 to 24,30,6,0,2,2,1,1,0,2219
IL,202404,Total,55 to 64,526,331,168,2,15,12,2,10,52196
CT,202502,Female,Missing,6,2,0,0,0,0,0,0,325
IN,202502,Female,25 to 34,96,37,4,4,3,1,2,3,24911
NM,202502,Male,Missing,3,2,0,0,0,0,0,0,123
MT,202501,Male,55 to 64,6,1,0,0,2,0,1,0,2188
NY,202501,Missing,11 to 14,1,0,0,0,0,0,0,0,2
AZ,202502,Female,25 to 34,158,75,1,34,7,3,2,1,19526
RI,202501,Female,35 to 44,14,6,1,1,2,2,0,0,3376
AK,202502,Male,65+,9,5,0,1,0,0,0,1,2800
MN,202501,Total,35 to 44,171,56,1,4,8,2,5,2,22883
OH,202501,Missing,Total,4,3,0,0,0,0,0,0,154
NJ,202501,Missing,25 to 34,0,0,0,0,0,0,0,0,12
HI,202501,Male,65+,21,6,0,0,2,0,2,0,7890
LA,202501,Total,15 to 24,129,8,0,2,1,1,0,3,27196
OR,202502,Female,45 to 54,34,11,0,1,0,0,0,2,8419
IL,202404,Missing,35 to 44,0,0,0,0,0,0,0,0,3
AZ,202501,Female,0 to 10,37,0,0,0,0,0,0,0,11752
WA,202502,Male,25 to 34,252,167,0,66,5,2,3,1,13496
FL,202501,Female,45 to 54,254,69,2,12,5,4,1,12,65451
CO,202502,Total,Missing,2,0,0,0,0,0,0,0,154
AZ,202402,Female,15 to 24,143,8,0,3,4,1,0,3,16453
UT,202402,Total,65+,95,44,0,3,1,0,0,2,17296
DC,202401,Missing,65+,0,0,0,0,0,0,0,0,null
NH,202401,Missing,65+,0,0,0,0,0,0,0,0,null
LA,202402,Male,0 to 10,36,1,0,0,1,0,0,0,11640
CO,202403,Missing,0 to 10,0,0,0,0,0,0,0,0,5
MO,202402,Missing,Missing,0,0,0,0,0,0,0,0,25
RI,202401,Total,25 to 34,51,18,0,3,2,1,1,1,6639
KS,202402,Missing,11 to 14,0,0,0,0,0,0,0,0,1
NJ,202401,Total,35 to 44,331,109,14,4,19,14,2,6,43277
MT,202401,Total,25 to 34,40,10,0,7,8,1,7,4,4529
NH,202403,Missing,25 to 34,0,0,0,0,0,0,0,0,null
PA,202401,Total,45 to 54,361,88,10,4,12,6,3,2,51466
VA,202402,Missing,35 to 44,1,0,0,0,0,0,0,0,18
CO,202402,Female,Missing,0,0,0,0,0,0,0,0,75
KY,202402,Male,45 to 54,89,46,7,2,7,1,3,2,10476
GA,202402,Male,35 to 44,179,45,4,10,13,7,5,0,18571
WY,202402,Female,11 to 14,3,1,0,0,0,0,0,0,173
WA,202409,Male,Missing,6,4,0,2,2,0,2,0,37
OR,202411,Total,35 to 44,224,113,0,38,14,2,12,3,17898
KY,202412,Missing,0 to 10,0,0,0,0,0,0,0,0,7
SD,202410,Total,11 to 14,9,0,0,0,0,0,0,0,715
AZ,202411,Total,25 to 34,331,144,0,68,17,6,5,3,33984
OH,202409,Missing,15 to 24,0,0,0,0,0,0,0,0,25
AR,202409,Male,65+,12,3,0,0,0,0,0,1,8797
TX,202411,Missing,Missing,3,1,0,0,0,0,0,0,51
PA,202412,Missing,25 to 34,1,0,0,0,0,0,0,0,19
ME,202411,Total,Missing,2,0,0,0,0,0,0,0,680
AK,202409,Total,11 to 14,8,0,0,0,0,0,0,0,947
NY,202409,Male,11 to 14,17,0,0,0,2,0,0,1,11038
MT,202409,Female,Missing,0,0,0,0,0,0,0,0,8
NV,202412,Female,15 to 24,56,10,0,4,1,1,0,2,9601
NY,202410,Missing,55 to 64,0,0,0,0,0,0,0,0,13
SC,202411,Missing,0 to 10,0,0,0,0,0,0,0,0,11
CO,202411,Missing,15 to 24,0,0,0,0,0,0,0,0,4
IL,202411,Female,15 to 24,220,15,4,0,8,3,1,2,29595
MI,202409,Total,35 to 44,292,84,25,6,25,11,7,7,47775
MA,202410,Male,45 to 54,181,86,6,12,13,10,1,3,13808
ME,202412,Male,45 to 54,20,9,0,0,1,1,0,0,2543
MS,202410,Female,15 to 24,42,2,0,1,0,0,0,0,9760
MI,202410,Male,15 to 24,101,7,0,0,10,3,3,3,17564
CO,202409,Female,Total,500,135,0,22,12,6,3,11,98702
NV,202410,Male,11 to 14,7,0,0,0,0,0,0,0,1846
IN,202412,Total,45 to 54,149,32,4,3,11,2,7,3,35805
HI,202412,Missing,Total,0,0,0,0,0,0,0,0,16
MD,202409,Missing,35 to 44,2,1,0,0,0,0,0,0,22
SC,202411,Male,55 to 64,43,12,1,2,1,1,0,3,9343
TX,202404,Female,55 to 64,208,48,2,2,4,1,3,9,58246
AZ,202411,Male,15 to 24,117,29,0,11,8,1,0,2,11415
NM,202409,Female,25 to 34,46,14,0,4,3,2,1,1,6905
MA,202411,Male,Total,1094,433,26,51,49,42,3,24,118226
WV,202411,Total,11 to 14,14,0,0,0,0,0,0,0,2535
NJ,202412,Female,11 to 14,21,0,0,0,0,0,0,0,4887
TX,202411,Total,15 to 24,904,68,5,15,49,25,14,36,126945
NC,202409,Missing,15 to 24,1,1,0,0,0,0,0,0,25
UT,202501,Total,11 to 14,31,0,0,0,0,0,0,0,2363
KY,202409,Total,0 to 10,62,0,0,0,1,0,0,0,21355
AZ,202407,Female,Missing,0,0,0,0,0,0,0,0,40
NJ,202407,Female,55 to 64,113,45,7,0,2,1,1,2,20829
IN,202408,Female,45 to 54,82,13,1,1,5,2,2,3,19512
IL,202407,Female,65+,215,69,20,1,2,2,0,4,65999
NV,202406,Male,Missing,7,5,0,1,0,0,0,0,51
TN,202407,Total,15 to 24,282,51,4,10,8,0,5,6,35541
MA,202406,Missing,15 to 24,1,0,0,0,0,0,0,0,23
TN,202406,Total,45 to 54,264,94,14,13,34,19,13,6,33739
NJ,202406,Total,11 to 14,32,0,0,0,1,0,0,0,9011
SD,202407,Missing,35 to 44,0,0,0,0,0,0,0,0,null
TN,202407,Missing,65+,0,0,0,0,0,0,0,0,8
UT,202407,Female,65+,49,21,0,0,0,0,0,1,10737
AZ,202407,Female,65+,106,33,0,4,2,0,2,4,37449
SC,202407,Female,11 to 14,20,0,0,0,0,0,0,0,1877
NJ,202406,Male,15 to 24,96,26,2,3,3,2,0,1,15066
WA,202407,Missing,65+,2,2,0,2,0,0,0,0,15
MT,202407,Male,Missing,0,0,0,0,0,0,0,0,18
NJ,202406,Total,65+,266,102,15,0,3,3,0,5,75629
SD,202405,Missing,11 to 14,0,0,0,0,0,0,0,0,null
GA,202408,Missing,11 to 14,0,0,0,0,0,0,0,0,1
NE,202406,Male,55 to 64,11,0,0,0,1,0,1,0,3124
VA,202406,Missing,Total,4,2,0,0,1,1,0,0,204
SD,202408,Total,Missing,0,0,0,0,0,0,0,0,2
ME,202408,Female,0 to 10,5,0,0,0,0,0,0,0,1458
DE,202408,Male,35 to 44,60,38,3,7,3,1,2,0,2388
OR,202407,Total,25 to 34,214,79,0,28,8,1,6,6,20843
MD,202406,Female,11 to 14,20,0,0,0,0,0,0,0,1967
OH,202408,Missing,55 to 64,1,1,0,0,0,0,0,0,9
WV,202407,Missing,45 to 54,0,0,0,0,0,0,0,0,1
TN,202408,Total,35 to 44,407,178,19,36,32,20,12,12,39286
NM,202407,Missing,11 to 14,0,0,0,0,0,0,0,0,null
OH,202408,Male,35 to 44,277,87,9,15,11,6,4,1,25586
HI,202408,Total,25 to 34,29,7,0,2,2,1,1,0,5943
MA,202406,Total,Total,2122,762,57,69,84,62,7,50,260795
NY,202406,Total,35 to 44,1181,271,39,7,49,33,6,17,98537
MN,202406,Female,45 to 54,31,10,0,1,0,0,0,0,6230
DC,202408,Female,35 to 44,17,6,1,0,1,1,0,0,2248
NY,202408,Missing,35 to 44,3,0,0,0,0,0,0,0,35
WA,202407,Total,35 to 44,407,211,2,79,35,9,16,2,35967
NC,202408,Missing,25 to 34,3,2,0,0,0,0,0,0,28
FL,202406,Female,15 to 24,376,36,1,6,9,6,1,8,65666
CO,202408,Missing,35 to 44,0,0,0,0,0,0,0,0,8
NC,202407,Male,25 to 34,340,142,9,31,21,11,8,4,24635
NV,202402,Female,55 to 64,52,26,1,6,1,0,1,1,6904
WV,202406,Missing,35 to 44,0,0,0,0,0,0,0,0,null
DE,202408,Female,0 to 10,12,0,0,0,0,0,0,0,3087
FL,202402,Total,0 to 10,309,8,0,0,5,2,0,2,137563
MD,202405,Male,11 to 14,15,0,0,0,0,0,0,1,2592
DE,202405,Male,65+,17,7,1,1,1,0,1,0,4952
OH,202405,Total,11 to 14,76,0,0,0,1,0,0,1,13007
NJ,202404,Female,Missing,10,1,0,0,0,0,0,0,79
NY,202405,Female,11 to 14,96,1,0,1,1,0,0,1,10337
MT,202403,Total,11 to 14,9,0,0,0,0,0,0,0,942
OR,202405,Missing,0 to 10,0,0,0,0,0,0,0,0,4
IN,202404,Female,65+,62,8,0,1,0,0,0,3,30028
KY,202404,Male,55 to 64,84,45,6,4,10,3,7,1,11201
RI,202404,Total,65+,33,10,0,0,0,0,0,1,11150
AK,202404,Total,11 to 14,13,0,0,0,2,0,0,1,876
MN,202404,Female,Missing,1,0,0,0,0,0,0,0,9
NC,202405,Female,0 to 10,62,1,0,0,4,0,0,0,20081
NY,202404,Total,25 to 34,975,216,40,15,56,45,4,13,106702
WI,202404,Male,25 to 34,115,38,5,2,2,0,1,1,11853
MS,202404,Male,55 to 64,14,2,0,0,1,0,1,0,5616
DC,202403,Female,Missing,0,0,0,0,0,0,0,0,18
MI,202404,Female,11 to 14,55,0,0,0,0,0,0,0,5515
NJ,202403,Missing,35 to 44,0,0,0,0,0,0,0,0,10
KY,202404,Female,25 to 34,106,33,6,3,5,3,1,4,14731
RI,202405,Total,15 to 24,27,5,0,1,0,0,0,1,5091
WI,202405,Female,0 to 10,25,0,0,0,1,1,0,0,10917
CO,202404,Male,45 to 54,65,30,0,9,4,0,2,0,8696
CT,202405,Total,Missing,39,12,0,1,1,1,0,0,803
MI,202502,Female,65+,133,42,4,2,1,1,0,2,52665
MO,202502,Male,55 to 64,31,1,0,0,1,0,0,0,11789
KS,202501,Total,Missing,1,0,0,0,0,0,0,0,64
OR,202502,Male,Missing,16,9,0,2,0,0,0,0,135
AL,202502,Total,65+,103,38,0,3,2,1,0,5,42164
HI,202501,Male,45 to 54,12,3,0,1,2,0,2,1,3093
NJ,202501,Female,Total,632,123,8,2,13,10,0,7,190689
MO,202502,Total,25 to 34,124,4,0,2,3,1,1,0,25752
MA,202502,Missing,45 to 54,1,0,0,0,0,0,0,0,6
DE,202501,Male,65+,18,10,0,0,0,0,0,1,5339
OR,202502,Female,55 to 64,59,23,0,1,0,0,0,0,8306
NY,202501,Male,11 to 14,27,1,0,0,2,0,0,0,10114
AL,202502,Female,Total,446,101,6,19,10,4,3,11,105727
AK,202502,Female,55 to 64,6,3,0,1,0,0,0,1,1533
WY,202501,Total,55 to 64,3,2,0,0,0,0,0,1,2314
WI,202501,Female,Missing,0,0,0,0,0,0,0,0,48
RI,202502,Female,Total,101,20,0,2,3,3,0,8,23708
CO,202502,Missing,25 to 34,0,0,0,0,0,0,0,0,9
UT,202502,Male,Total,295,101,3,16,15,1,8,7,38155
GA,202501,Total,15 to 24,240,23,1,5,12,7,2,1,44125
VT,202502,Total,15 to 24,16,1,0,1,2,1,0,0,3033
AZ,202402,Male,45 to 54,82,39,1,10,6,2,3,1,12583
KS,202401,Missing,65+,0,0,0,0,0,0,0,0,null
LA,202401,Female,35 to 44,86,30,1,4,3,1,1,1,16494
LA,202401,Female,65+,47,12,0,0,1,1,0,2,26808
AR,202402,Male,15 to 24,31,2,0,2,1,0,0,2,3836
DC,202401,Male,35 to 44,49,14,1,1,1,1,0,0,2155
VA,202402,Female,11 to 14,50,1,0,0,0,0,0,1,5081
AR,202401,Missing,11 to 14,0,0,0,0,0,0,0,0,null
NC,202402,Total,35 to 44,428,140,9,38,24,15,7,3,49622
MO,202402,Total,Total,669,36,1,16,28,6,20,6,223818
MO,202401,Missing,15 to 24,0,0,0,0,0,0,0,0,1
MS,202401,Total,Total,571,119,3,25,27,8,10,10,142665
SC,202401,Female,Missing,0,0,0,0,0,0,0,0,5
MO,202402,Female,45 to 54,35,0,0,0,1,0,1,0,12843
KS,202401,Missing,11 to 14,0,0,0,0,0,0,0,0,2
OR,202401,Female,35 to 44,81,32,0,12,2,0,1,2,9632
RI,202403,Total,11 to 14,5,0,0,0,1,0,0,0,1359
RI,202401,Female,25 to 34,25,5,0,0,0,0,0,1,4018
AZ,202401,Female,15 to 24,136,17,0,8,3,1,1,2,17401
AL,202403,Missing,45 to 54,0,0,0,0,0,0,0,0,1
CO,202402,Male,Total,537,244,4,52,17,7,7,4,80718
ME,202402,Male,25 to 34,34,15,3,0,2,1,1,0,2398
NC,202402,Female,25 to 34,198,56,5,13,12,8,1,5,32881
LA,202404,Female,35 to 44,75,20,4,1,6,1,0,3,16182
WY,202502,Total,11 to 14,5,0,0,0,0,0,0,0,637
AL,202502,Male,15 to 24,68,16,0,6,5,1,1,2,8422
MT,202401,Missing,15 to 24,0,0,0,0,0,0,0,0,4
WV,202401,Missing,15 to 24,0,0,0,0,0,0,0,0,1
WY,202402,Total,Missing,0,0,0,0,0,0,0,0,11
MS,202411,Female,35 to 44,23,5,0,2,0,0,0,1,7514
AR,202412,Male,15 to 24,14,3,0,1,0,0,0,0,2785
VT,202410,Male,65+,8,3,0,0,0,0,0,0,3666
DC,202412,Missing,65+,0,0,0,0,0,0,0,0,3
MN,202411,Missing,11 to 14,0,0,0,0,0,0,0,0,null
WY,202412,Total,11 to 14,5,0,0,0,0,0,0,0,581
OR,202412,Male,65+,65,25,0,2,1,0,1,3,20452
NM,202501,Missing,11 to 14,0,0,0,0,0,0,0,0,null
OH,202409,Male,45 to 54,127,34,4,1,8,1,5,2,23910
NC,202411,Female,25 to 34,201,55,2,12,7,2,2,4,34168
UT,202410,Missing,65+,0,0,0,0,0,0,0,0,1
KS,202410,Male,45 to 54,29,6,1,1,4,1,3,2,4748
PA,202501,Total,65+,260,50,4,1,6,3,1,4,141289
MD,202410,Missing,0 to 10,0,0,0,0,0,0,0,0,5
NV,202408,Male,Missing,3,1,0,0,0,0,0,0,70
KY,202412,Male,45 to 54,84,32,2,6,3,0,0,2,11254
VA,202410,Male,25 to 34,132,31,7,3,6,4,3,4,18203
ME,202411,Female,45 to 54,12,4,1,0,0,0,0,0,2759
NY,202411,Total,55 to 64,781,232,17,9,21,20,0,13,85670
WA,202412,Total,55 to 64,271,166,1,39,11,1,7,4,30015
CO,202409,Total,55 to 64,82,31,0,4,2,1,1,3,18251
WV,202409,Male,45 to 54,34,14,2,1,3,1,2,2,5122
MA,202412,Total,Total,1761,583,34,61,76,53,4,41,271681
AL,202410,Female,55 to 64,59,14,0,1,5,2,3,3,12028
WV,202411,Male,Total,205,72,5,17,10,4,1,2,38222
TN,202410,Male,55 to 64,97,35,4,3,10,6,2,4,16136
IL,202409,Female,25 to 34,174,40,18,2,6,3,0,8,36126
KS,202409,Male,Missing,0,0,0,0,0,0,0,0,28
SC,202410,Total,65+,86,23,0,2,0,0,0,3,42377
NY,202410,Female,11 to 14,80,1,0,0,0,0,0,1,10093
TX,202412,Male,11 to 14,44,1,0,0,2,0,0,1,17770
KY,202410,Male,65+,82,30,0,1,2,0,1,1,20438
OR,202411,Missing,Total,3,2,0,0,0,0,0,0,133
ME,202409,Male,0 to 10,8,1,0,1,1,1,0,0,1767
NE,202409,Male,0 to 10,15,0,0,0,0,0,0,0,3025
TX,202411,Female,0 to 10,183,0,0,0,2,0,0,3,82986
MD,202410,Female,11 to 14,32,0,0,0,0,0,0,0,2921
KY,202412,Female,Total,496,131,10,10,21,6,9,13,117593
MN,202410,Male,11 to 14,6,0,0,0,0,0,0,0,2177
WI,202412,Missing,Total,1,0,0,0,0,0,0,0,58
ME,202409,Male,15 to 24,14,2,0,0,1,1,0,0,2288
MN,202409,Missing,35 to 44,0,0,0,0,0,0,0,0,8
